   1    2    3    2.4893
   2    4    6    2.1622
   2    6    8   -0.9400
   3    5    8   -2.0427
   3    6    9   -1.6181
   3    8   11    2.0936
   4    5    9   -1.1375
   4    7   11   -0.4937
   4    8   12    1.3326
   6    8   14    0.3277
   8   10   18    0.8974
  10    9   19   -0.4554
  10   10   20    0.4720
  10   11   21   -0.5450
  10   12   22   -0.7561
  10   13   23   -0.8451
  10   14   24   -0.7484
  10   15   25    0.3101
  10   16   26    0.3608
  10   18   28    0.5996
  11   11   22    0.1911
  11   12   23   -0.2922
  11   13   24   -0.1721
  11   14   25   -0.2496
  11   15   26    0.2922
  11   16   27    0.5653
  11   17   28    0.7415
  11   18   29    1.2649
  11   19   30    1.2809
  11   20   31    1.3208
  12   12   24   -0.1814
  12   13   25   -0.2082
  12   14   26   -0.3571
  12   15   27    0.0561
  12   16   28    0.5625
  12   17   29    0.6955
  12   18   30    0.6856
  12   19   31    1.2254
  12   20   32    1.2946
  14   16   30    0.1868
  16   18   34    0.4301
  16   20   36    0.2579
  17   20   37    0.3598
  18   16   34    0.3476
  18   17   35    0.3734
  18   18   36    0.4815
  18   19   37    0.5266
  18   20   38    0.2417
  18   21   39    0.3671
  18   22   40    0.4946
  18   23   41    0.3206
  18   24   42    0.2878
  18   25   43    0.2132
  18   26   44    0.0838
  18   28   46   -0.1636
  19   20   39    0.3681
  19   21   40    0.1776
  19   22   41    0.2167
  19   23   42    0.2986
  19   24   43    0.0458
  19   25   44    0.0063
  19   26   45    0.0719
  19   27   46   -0.1170
  19   28   47   -0.2316
  19   29   48    0.5889
  19   30   49    1.0785
  19   31   50    0.7887
  19   32   51    0.6301
  20   21   41    0.3851
  20   22   42    0.6441
  20   23   43    0.3366
  20   24   44    0.2201
  20   25   45    0.0321
  20   26   46   -0.5025
  20   27   47   -0.3817
  20   28   48   -0.3888
  20   29   49    0.3012
  20   30   50    0.9224
  20   31   51    0.9413
  20   32   52    0.7718
  21   23   44   -0.5841
  21   24   45   -0.2525
  21   25   46   -0.4124
  22   24   46   -0.1003
  22   25   47    0.0514
  22   26   48   -0.3360
  22   27   49   -0.5179
  22   28   50   -0.4937
  24   28   52   -0.3198
  24   30   54    1.0354
  25   27   52   -0.9839
  25   28   53   -0.8690
  25   29   54    0.3069
  25   30   55    0.9554
  25   31   56    0.7620
  26   30   56    1.0892
  26   32   58    0.9235
  28   32   60    0.9256
  28   34   62    0.7347
  28   36   64    0.4599
  29   36   65    0.5379
  30   36   66    0.5719
  30   38   68    0.4660
  30   40   70    0.5293
  31   35   66    0.8723
  31   37   68    0.4039
  31   39   70    0.4207
  31   40   71    0.4155
  31   41   72    0.9238
  31   42   73    0.8783
  31   43   74    0.2255
  31   44   75    0.1533
  31   45   76    0.1924
  31   46   77    0.0834
  31   47   78   -0.0209
  31   48   79   -0.0661
  31   49   80   -0.1054
  31   50   81   -0.1120
  31   51   82    0.7705
  32   40   72    0.4716
  32   42   74    0.4897
  32   44   76    0.2060
  34   42   76    2.0886
  34   44   78    0.0336
  34   46   80   -0.0185
  34   48   82    0.0000
  35   46   81   -0.0934
  36   38   74    0.7119
  36   40   76    0.4606
  36   41   77   -0.0464
  36   42   78    0.0559
  36   43   79   -0.1497
  36   44   80   -0.2128
  36   45   81   -0.2576
  36   46   82   -0.1607
  36   47   83   -0.2561
  36   48   84   -0.1111
  36   49   85   -0.0796
  36   50   86   -0.1566
  36   51   87    0.4433
  36   52   88    1.0857
  36   53   89    0.9826
  36   54   90    0.8262
  36   55   91    0.8481
  36   56   92    1.0007
  36   57   93    0.8394
  36   58   94    0.9373
  36   59   95    0.9251
  36   60   96    0.9055
  37   39   76    1.2557
  37   40   77    0.3115
  37   41   78    0.2849
  37   42   79   -0.2671
  37   43   80   -0.4040
  37   44   81   -0.2593
  37   45   82   -0.3840
  37   46   83   -0.5310
  37   47   84   -0.5611
  37   48   85   -0.1023
  37   49   86    0.0674
