   1    2    3    0.8808
   2    4    6    0.3905
   2    6    8   -0.1421
   3    5    8   -0.2500
   3    6    9   -0.1990
   3    8   11    0.2370
   4    5    9   -0.1270
   4    7   11   -0.0530
   4    8   12    0.1420
   6    8   14    0.0323
   8   10   18    0.0735
  10    9   19   -0.0331
  10   10   20    0.0341
  10   11   21   -0.0387
  10   12   22   -0.0530
  10   13   23   -0.0591
  10   14   24   -0.0518
  10   15   25    0.0212
  10   16   26    0.0244
  10   18   28    0.0391
  11   11   22    0.0134
  11   12   23   -0.0200
  11   13   24   -0.0117
  11   14   25   -0.0167
  11   15   26    0.0193
  11   16   27    0.0367
  11   17   28    0.0472
  11   18   29    0.0786
  11   19   30    0.0780
  11   20   31    0.0782
  12   12   24   -0.0120
  12   13   25   -0.0137
  12   14   26   -0.0231
  12   15   27    0.0036
  12   16   28    0.0354
  12   17   29    0.0432
  12   18   30    0.0416
  12   19   31    0.0730
  12   20   32    0.0754
  14   16   30    0.0112
  16   18   34    0.0236
  16   20   36    0.0138
  17   20   37    0.0186
  18   16   34    0.0186
  18   17   35    0.0198
  18   18   36    0.0251
  18   19   37    0.0272
  18   20   38    0.0123
  18   21   39    0.0185
  18   22   40    0.0246
  18   23   41    0.0158
  18   24   42    0.0140
  18   25   43    0.0103
  18   26   44    0.0040
  18   28   46   -0.0077
  19   20   39    0.0184
  19   21   40    0.0088
  19   22   41    0.0106
  19   23   42    0.0145
  19   24   43    0.0022
  19   25   44    0.0003
  19   26   45    0.0034
  19   27   46   -0.0055
  19   28   47   -0.0108
  19   29   48    0.0272
  19   30   49    0.0493
  19   31   50    0.0356
  19   32   51    0.0281
  20   21   41    0.0187
  20   22   42    0.0308
  20   23   43    0.0160
  20   24   44    0.0103
  20   25   45    0.0015
  20   26   46   -0.0232
  20   27   47   -0.0176
  20   28   48   -0.0178
  20   29   49    0.0137
  20   30   50    0.0415
  20   31   51    0.0419
  20   32   52    0.0339
  21   23   44   -0.0270
  21   24   45   -0.0116
  21   25   46   -0.0189
  22   24   46   -0.0045
  22   25   47    0.0023
  22   26   48   -0.0149
  22   27   49   -0.0229
  22   28   50   -0.0217
  24   28   52   -0.0136
  24   30   54    0.0433
  25   27   52   -0.0414
  25   28   53   -0.0364
  25   29   54    0.0128
  25   30   55    0.0395
  25   31   56    0.0312
  26   30   56    0.0444
  26   32   58    0.0368
  28   32   60    0.0361
  28   34   62    0.0281
  28   36   64    0.0173
  29   36   65    0.0199
  30   36   66    0.0208
  30   38   68    0.0167
  30   40   70    0.0187
  31   35   66    0.0316
  31   37   68    0.0144
  31   39   70    0.0148
  31   40   71    0.0145
  31   41   72    0.0320
  31   42   73    0.0302
  31   43   74    0.0077
  31   44   75    0.0052
  31   45   76    0.0065
  31   46   77    0.0028
  31   47   78   -0.0007
  31   48   79   -0.0022
  31   49   80   -0.0035
  31   50   81   -0.0037
  31   51   82    0.0253
  32   40   72    0.0162
  32   42   74    0.0166
  32   44   76    0.0069
  34   42   76    0.0695
  34   44   78    0.0011
  34   46   80   -0.0006
  34   48   82    0.0000
  35   46   81   -0.0030
  36   38   74    0.0235
  36   40   76    0.0150
  36   41   77   -0.0015
  36   42   78    0.0018
  36   43   79   -0.0048
  36   44   80   -0.0068
  36   45   81   -0.0082
  36   46   82   -0.0051
  36   47   83   -0.0081
  36   48   84   -0.0035
  36   49   85   -0.0025
  36   50   86   -0.0049
  36   51   87    0.0138
  36   52   88    0.0336
  36   53   89    0.0302
  36   54   90    0.0252
  36   55   91    0.0257
  36   56   92    0.0301
  36   57   93    0.0251
  36   58   94    0.0278
  36   59   95    0.0273
  36   60   96    0.0265
  37   39   76    0.0407
  37   40   77    0.0100
  37   41   78    0.0091
  37   42   79   -0.0085
  37   43   80   -0.0128
  37   44   81   -0.0082
  37   45   82   -0.0121
  37   46   83   -0.0167
  37   47   84   -0.0176
  37   48   85   -0.0032
  37   49   86    0.0021
  37   50   87   -0.0050
  37   51   88    0.0143
  37   52   89    0.0409
  37   53   90    0.0390
  37   54   91    0.0335
  37   55   92    0.0353
  37   56   93    0.0335
  37   57   94    0.0288
  37   58   95    0.0346
  37   59   96    0.0322
  37   60   97    0.0860
  37   61   98    0.0853
  38   41   79    0.0017
  38   42   80    0.0001
  38   43   81   -0.0039
  38   44   82   -0.0084
  38   45   83   -0.0092
  38   46   84   -0.0084
  38   47   85   -0.0151
  38   48   86   -0.0087
  38   49   87   -0.0055
  38   50   88   -0.0067
  38   51   89    0.0158
  38   52   90    0.0371
  38   53   91    0.0333
  38   54   92    0.0313
  38   55   93    0.0286
  38   56   94    0.0267
  38   57   95    0.0279
  38   58   96    0.0331
  38   59   97    0.0320
  38   60   98    0.0855
  38   61   99    0.0870
  38   62  100    0.0263
  39   49   88   -0.0072
  39   50   89   -0.0068
  39   51   90    0.0132
  39   53   92    0.0314
  39   55   94    0.0255
  39   56   95    0.0232
