#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
   1   2     2224.566     0.000 1   1
   1   3     8481.795     0.000 1   2
   1   4     6881.796   100.000 1   3
   1   5     6681.795    89.445 1   4
   1   6     5769.834   254.124 1   5
   2   3     7718.040     0.000 1   1
   2   4    28295.660     0.000 1   2
   2   5    27560.660    20.000 1   3
   2   6    29271.113     0.054 1   4
   2   7    28861.400     7.560 1   5
   2   8    31396.160     0.088 1   6
   2   9    30141.334    46.818 1   7
   2  10    29951.340    92.850 1   8
   3   4     4615.040   212.132 1   1
   3   5    26330.660    50.000 1   2
   3   6    31993.986     0.000 1   3
   3   7    39245.074     0.007 1   4
   3   8    41277.695     0.048 1   5
   3   9    45339.914     0.189 1   6
   3  10    45313.512    12.720 1   7
   3  11    45709.188     0.616 1   8
   3  12    45499.203    30.012 1   9
   3  13    45599.188    70.005 1  10
   4   6    26923.482     5.448 1   2
   4   7    37600.836     0.070 1   3
   4   8    56499.480     0.032 1   4
   4   9    58164.012     0.081 1   5
   4  10    64976.297     0.080 1   6
   4  11    65477.941     0.242 1   7
   4  12    68648.664     1.908 1   8
   4  13    68138.656    10.179 1   9
   4  14    69914.555   132.244 1  10
   4  15    68114.555   165.795 1  11
   4  16    68564.562   165.792 1  12
   5   7    24910.936    25.151 1   2
   5   8    37737.238     1.000 1   3
   5   9    56313.629     0.900 1   4
   5  10    64750.828     0.020 1   5
   5  11    76205.055     0.011 1   6
   5  12    79574.680     1.320 1   7
   5  13    84453.445     1.001 1   8
   5  14    85423.016    21.210 1   9
   5  15    88199.773    21.030 1  10
   5  16    88116.828    24.576 1  11
   5  17    89584.336   204.102 1  12
   5  18    89579.336   204.156 1  13
   5  19    89673.039   525.369 1  14
   6   8    24812.191    18.240 1   2
   6   9    39036.805     2.133 1   3
   6  10    60320.422     0.070 1   4
   6  11    73441.016     0.055 1   5
   6  12    92161.727     0.000 1   6
   6  13    97108.039     0.000 1   7
   6  14   105284.461     0.000 1   8
   6  15   106502.531     0.795 1   9
   6  16   110752.867     3.584 1  10
   6  17   111486.406    17.357 1  11
   6  18   115670.359    30.006 1  12
   6  19   116247.188    98.382 1  13
   6  20   119228.703   230.620 1  14
   6  22   119263.695   231.484 1  16
   7  10    36436.723   400.000 1   3
   7  11    59004.504    46.156 1   4
   7  12    74041.305     0.996 1   5
   7  13    94105.219     0.273 1   6
   7  14   104658.594     0.000 1   7
   7  15   115491.898     0.000 1   8
   7  16   117980.734     2.304 1   9
   7  17   123865.891    14.994 1  10
   7  18   126694.117    18.576 1  11
   7  19   132022.312    16.397 1  12
   7  20   134183.422    78.900 1  13
   7  21   138789.312   134.043 1  14
   7  22   140327.750   207.790 1  15
   7  23   143443.438   420.578 1  16
   8  12    58682.426    24.000 1   4
   8  13    75552.922     9.529 1   5
   8  14    98731.891     0.028 1   6
   8  15   111955.375     0.495 1   7
   8  16   127619.297     0.000 1   8
   8  17   131762.375     0.000 1   9
   8  18   139807.750     0.000 1  10
   8  19   143763.406     2.641 1  11
   8  20   151371.391     0.880 1  12
   8  21   155176.859    11.991 1  13
   8  22   162027.156    56.914 1  14
   8  23   164760.156   121.716 1  15
   8  24   168952.438   164.880 1  16
   8  25   168195.125   165.075 1  17
   8  26   168934.422   164.944 1  18
   9  14    73992.914    41.118 1   5
   9  15    97461.883    13.995 1   6
   9  16   111419.695     8.320 1   7
   9  17   128219.578     0.255 1   8
   9  18   137369.484     0.468 1   9
   9  19   147801.344     0.000 1  10
   9  20   154402.672     0.040 1  11
   9  21   162504.156     1.806 1  12
   9  22   167734.484    12.408 1  13
   9  23   175313.922    33.327 1  14
   9  24   179125.969    97.680 1  15
   9  25   183407.656    96.450 1  16
   9  26   184164.250   111.202 1  17
   9  27   185434.172   389.826 1  18
   9  28   185214.172   393.036 1  19
   9  29   186876.891   525.364 1  20
  10  15    73030.922    66.690 1   5
  10  16    97330.828    20.480 1   6
  10  17   112888.484     0.357 1   7
  10  18   132142.625     0.360 1   8
  10  19   143779.516     0.152 1   9
  10  20   160644.812     0.000 1  10
  10  21   167405.969     0.042 1  11
