   0   1   1   -0.114  0.0027                    1,1,,,-0.1149,0.0027
   1   0   1   0.8783  0.0086                    1,0,0,0,0.8783,0.0086
   1   1   2   2.1421  0.0088                    2,1,3.82007,0.00065,2.1421,0.0088
   1   2   3   1.7591  0.0363                    3,2,,,1.7591,0.0363
   2   1   3   1.9661  0.0030                    3,1,1.059,0.003,1.9661,0.0030
   2   2   4   1.6755  0.0028                    4,2,0,0,1.6755,0.0028
   2   4   6   2.0660  0.0111                    6,4,1.466,0.034,2.0660,0.0111
   2   6   8   1.9239  0.0306                    8,6,0.911,0.095,1.9239,0.0306
   3   3   6   2.5890  0.0390                    6,3,0,0,2.5890,0.0390
   3   4   7   2.4440  0.0420                    7,4,-0.731,0.022,2.4440,0.0420
   3   5   8   2.3390  0.0440                    8,5,-1.230,0.032,2.3390,0.0440
   3   6   9   2.2450  0.0460                    9,6,-1.663,0.032,2.2450,0.0460
   3   8  11   2.4820  0.0430                    11,8,-0.543,0.069,2.4820,0.0430
   4   3   7   2.6460  0.0160                    7,3,0.66,0.05,2.6460,0.0160
   4   5   9   2.5190  0.0120                    9,5,0,0,2.5190,0.0120
   4   6  10   2.3610  0.0170                    10,6,-0.79,0.08,2.3610,0.0170
   4   7  11   2.4660  0.0150                    11,7,-0.28,0.05,2.4660,0.0150
   4   8  12   2.5030  0.0150                    12,8,-0.08,0.05,2.5030,0.0150
   5   5  10   2.4277  0.0499                    10,5,,,2.4277,0.0499
   5   6  11   2.4060  0.0294                    11,6,,,2.4060,0.0294
   6   6  12   2.4702  0.0022                    12,6,,,2.4702,0.0022
   6   7  13   2.4614  0.0034                    13,7,,,2.4614,0.0034
   6   8  14   2.5025  0.0087                    14,8,,,2.5025,0.0087
   7   7  14   2.5582  0.0070                    14,7,,,2.5582,0.0070
   7   8  15   2.6058  0.0080                    15,8,,,2.6058,0.0080
   8   8  16   2.6991  0.0052                    16,8,,,2.6991,0.0052
   8   9  17   2.6932  0.0075                    17,9,,,2.6932,0.0075
   8  10  18   2.7726  0.0056                    18,10,,,2.7726,0.0056
   9  10  19   2.8976  0.0025                    19,10,,,2.8976,0.0025
  10   7  17   3.0413  0.0088                    17,7,0.221,0.029,3.0413,0.0088
  10   8  18   2.9714  0.0076                    18,8,-0.207,0.015,2.9714,0.0076
  10   9  19   3.0082  0.0040                    19,9,0.017,0.019,3.0082,0.0040
  10  10  20   3.0055  0.0021                    20,10,0,0,3.0055,0.0021
  10  11  21   2.9695  0.0033                    21,11,-0.217,0.014,2.9695,0.0033
  10  12  22   2.9525  0.0040                    22,12,-0.322,0.004,2.9525,0.0040
  10  13  23   2.9104  0.0071                    23,13,-0.572,0.034,2.9104,0.0071
