#I1	I2	I3	I4	M
1	2	3	4	0.0
1	2	3	5	2.0
1	2	3	6	0.0
1	2	3	7	2.0
1	2	3	8	0.0
1	2	4	5	0.0
1	2	4	6	-2.0
1	2	4	7	0.0
1	2	4	8	-2.0
1	2	5	6	0.0
1	2	5	7	2.0
1	2	5	8	0.0
1	2	6	7	0.0
1	2	6	8	-2.0
1	2	7	8	0.0
1	3	4	5	2.0
1	3	4	6	0.0
1	3	4	7	2.0
1	3	4	8	0.0
1	3	5	6	2.0
1	3	5	7	4.0
1	3	5	8	2.0
1	3	6	7	2.0
1	3	6	8	0.0
1	3	7	8	2.0
1	4	5	6	0.0
1	4	5	7	2.0
1	4	5	8	0.0
1	4	6	7	0.0
1	4	6	8	-2.0
1	4	7	8	0.0
1	5	6	7	2.0
1	5	6	8	0.0
1	5	7	8	2.0
1	6	7	8	0.0
2	3	4	5	0.0
2	3	4	6	-2.0
2	3	4	7	0.0
2	3	4	8	-2.0
2	3	5	6	0.0
2	3	5	7	2.0
2	3	5	8	0.0
2	3	6	7	0.0
2	3	6	8	-2.0
2	3	7	8	0.0
2	4	5	6	-2.0
2	4	5	7	0.0
2	4	5	8	-2.0
2	4	6	7	-2.0
2	4	6	8	-4.0
2	4	7	8	-2.0
2	5	6	7	0.0
2	5	6	8	-2.0
2	5	7	8	0.0
2	6	7	8	-2.0
3	4	5	6	0.0
3	4	5	7	2.0
3	4	5	8	0.0
3	4	6	7	0.0
3	4	6	8	-2.0
3	4	7	8	0.0
3	5	6	7	2.0
3	5	6	8	0.0
3	5	7	8	2.0
3	6	7	8	0.0
4	5	6	7	0.0
4	5	6	8	-2.0
4	5	7	8	0.0
4	6	7	8	-2.0
5	6	7	8	0.0
