 Energy levels for oxygen 18 
Index Energy   Ex [MeV]
0     -11.9318   0.0
1     -9.9333   1.9984
2     -9.9333   1.9984
3     -9.9333   1.9984
4     -9.9333   1.9984
5     -9.9333   1.9984
6     -8.4046   3.5272
7     -8.4046   3.5272
8     -8.4046   3.5272
9     -8.4046   3.5272
10     -8.4046   3.5272
11     -8.4046   3.5272
12     -8.4046   3.5272
13     -8.4046   3.5272
14     -8.4046   3.5272
15     -7.5717   4.3601
16     -7.5717   4.3601
17     -7.5717   4.3601
18     -7.5717   4.3601
19     -7.5717   4.3601
20     -7.3393   4.5925
21     -6.5054   5.4264
22     -6.5054   5.4264
23     -6.5054   5.4264
24     -6.5054   5.4264
25     -6.5054   5.4264
26     -6.5054   5.4264
27     -6.5054   5.4264
28     -2.9124   9.0194
29     -2.9124   9.0194
30     -2.9124   9.0194
31     -2.9124   9.0194
32     -2.9124   9.0194
33     -2.9124   9.0194
34     -2.9124   9.0194
35     -2.9124   9.0194
36     -2.9124   9.0194
37     -2.0505   9.8813
38     -2.0505   9.8813
39     -2.0505   9.8813
40     -2.0505   9.8813
41     -2.0505   9.8813
42     -1.162   10.7698
43     -1.162   10.7698
44     -1.162   10.7698
45     -0.9908   10.941
46     -0.9908   10.941
47     -0.9908   10.941
48     -0.9908   10.941
49     -0.9908   10.941
50     -0.9908   10.941
51     -0.9908   10.941
52     -0.9011   11.0307
53     -0.9011   11.0307
54     -0.9011   11.0307
55     -0.9011   11.0307
56     -0.9011   11.0307
57     -0.5768   11.355
58     -0.5768   11.355
59     -0.5768   11.355
60     3.077   15.0087
61     4.2883   16.2201
62     4.2883   16.2201
63     4.2883   16.2201
64     4.2883   16.2201
65     4.2883   16.2201
