#I1	I2	2*M
1	2	0.0
1	3	-4.0
1	4	-2.0
1	5	0.0
1	6	2.0
1	7	-6.0
1	8	-4.0
1	9	-2.0
1	10	0.0
1	11	2.0
1	12	4.0
2	3	-2.0
2	4	0.0
2	5	2.0
2	6	4.0
2	7	-4.0
2	8	-2.0
2	9	0.0
2	10	2.0
2	11	4.0
2	12	6.0
3	4	-4.0
3	5	-2.0
3	6	0.0
3	7	-8.0
3	8	-6.0
3	9	-4.0
3	10	-2.0
3	11	0.0
3	12	2.0
4	5	0.0
4	6	2.0
4	7	-6.0
4	8	-4.0
4	9	-2.0
4	10	0.0
4	11	2.0
4	12	4.0
5	6	4.0
5	7	-4.0
5	8	-2.0
5	9	0.0
5	10	2.0
5	11	4.0
5	12	6.0
6	7	-2.0
6	8	0.0
6	9	2.0
6	10	4.0
6	11	6.0
6	12	8.0
7	8	-8.0
7	9	-6.0
7	10	-4.0
7	11	-2.0
7	12	0.0
8	9	-4.0
8	10	-2.0
8	11	0.0
8	12	2.0
9	10	0.0
9	11	2.0
9	12	4.0
10	11	4.0
10	12	6.0
11	12	8.0
